p1,p2,p3,Gou_D1,Gou_D2,Gou_D3,BU_mix_0p3_D1,BU_mix_0p3_D2,BU_mix_0p3_D3
0.020690,0.124138,0.124138,0,0,0,1,0,0
0.020690,0.124138,0.134483,0,0,0,1,0,0
0.020690,0.124138,0.144828,0,0,0,1,0,0
0.020690,0.124138,0.155172,0,0,0,1,0,0
0.020690,0.124138,0.165517,0,0,0,1,0,0
0.020690,0.124138,0.175862,0,0,0,1,0,0
0.020690,0.124138,0.186207,0,0,0,1,0,0
0.020690,0.124138,0.196552,0,0,0,1,0,0
0.020690,0.124138,0.206897,0,0,0,1,0,0
0.020690,0.124138,0.217241,0,0,0,1,0,0
0.020690,0.124138,0.227586,0,0,0,1,0,0
0.020690,0.124138,0.237931,0,0,0,1,0,0
0.020690,0.124138,0.248276,0,0,0,1,0,0
0.020690,0.124138,0.258621,0,0,0,1,0,0
0.020690,0.124138,0.268966,0,0,0,1,0,0
0.020690,0.124138,0.279310,0,0,0,1,0,0
0.020690,0.124138,0.289655,0,0,0,1,0,0
0.020690,0.124138,0.300000,0,0,0,1,0,0
0.020690,0.134483,0.031034,1,0,0,1,0,1
0.020690,0.134483,0.041379,0,0,0,1,0,1
0.020690,0.134483,0.051724,0,0,0,1,0,0
0.020690,0.134483,0.062069,0,0,0,1,0,0
0.020690,0.134483,0.072414,0,0,0,1,0,0
0.020690,0.134483,0.082759,0,0,0,1,0,0
0.020690,0.134483,0.093103,0,0,0,1,0,0
0.020690,0.134483,0.103448,0,0,0,1,0,0
0.020690,0.134483,0.113793,0,0,0,1,0,0
0.020690,0.134483,0.124138,0,0,0,1,0,0
0.020690,0.134483,0.134483,0,0,0,1,0,0
0.020690,0.134483,0.144828,0,0,0,1,0,0
0.020690,0.134483,0.155172,0,0,0,1,0,0
0.020690,0.134483,0.165517,0,0,0,1,0,0
0.020690,0.134483,0.175862,0,0,0,1,0,0
0.020690,0.134483,0.186207,0,0,0,1,0,0
0.020690,0.134483,0.196552,0,0,0,1,0,0
0.020690,0.134483,0.206897,0,0,0,1,0,0
0.020690,0.134483,0.217241,0,0,0,1,0,0
0.020690,0.134483,0.227586,0,0,0,1,0,0
0.020690,0.134483,0.237931,0,0,0,1,0,0
0.020690,0.134483,0.248276,0,0,0,1,0,0
0.020690,0.134483,0.258621,0,0,0,1,0,0
0.020690,0.134483,0.268966,0,0,0,1,0,0
0.020690,0.134483,0.279310,0,0,0,1,0,0
0.020690,0.134483,0.289655,0,0,0,1,0,0
0.020690,0.134483,0.300000,0,0,0,1,0,0
0.020690,0.144828,0.031034,1,0,0,1,0,1
0.020690,0.144828,0.041379,0,0,0,1,0,1
0.020690,0.144828,0.051724,0,0,0,1,0,0
0.020690,0.144828,0.062069,0,0,0,1,0,0
0.020690,0.144828,0.072414,0,0,0,1,0,0
0.020690,0.144828,0.082759,0,0,0,1,0,0
0.020690,0.144828,0.093103,0,0,0,1,0,0
0.020690,0.144828,0.103448,0,0,0,1,0,0
0.020690,0.144828,0.113793,0,0,0,1,0,0
0.020690,0.144828,0.124138,0,0,0,1,0,0
0.020690,0.144828,0.134483,0,0,0,1,0,0
0.020690,0.144828,0.144828,0,0,0,1,0,0
0.020690,0.144828,0.155172,0,0,0,1,0,0
0.020690,0.144828,0.165517,0,0,0,1,0,0
0.020690,0.144828,0.175862,0,0,0,1,0,0
0.020690,0.144828,0.186207,0,0,0,1,0,0
0.020690,0.144828,0.196552,0,0,0,1,0,0
0.020690,0.144828,0.206897,0,0,0,1,0,0
0.020690,0.144828,0.217241,0,0,0,1,0,0
0.020690,0.144828,0.227586,0,0,0,1,0,0
0.020690,0.144828,0.237931,0,0,0,1,0,0
0.020690,0.144828,0.248276,0,0,0,1,0,0
0.020690,0.144828,0.258621,0,0,0,1,0,0
0.020690,0.144828,0.268966,0,0,0,1,0,0
0.020690,0.144828,0.279310,0,0,0,1,0,0
0.020690,0.144828,0.289655,0,0,0,1,0,0
0.020690,0.144828,0.300000,0,0,0,1,0,0
0.020690,0.155172,0.031034,1,0,0,1,0,1
0.020690,0.155172,0.041379,0,0,0,1,0,1
0.020690,0.155172,0.051724,0,0,0,1,0,0
0.020690,0.155172,0.062069,0,0,0,1,0,0
0.020690,0.155172,0.072414,0,0,0,1,0,0
0.020690,0.155172,0.082759,0,0,0,1,0,0
0.020690,0.155172,0.093103,0,0,0,1,0,0
0.020690,0.155172,0.103448,0,0,0,1,0,0
0.020690,0.155172,0.113793,0,0,0,1,0,0
0.020690,0.155172,0.124138,0,0,0,1,0,0
0.020690,0.155172,0.134483,0,0,0,1,0,0
0.020690,0.155172,0.144828,0,0,0,1,0,0
0.020690,0.155172,0.155172,0,0,0,1,0,0
0.020690,0.155172,0.165517,0,0,0,1,0,0
0.020690,0.155172,0.175862,0,0,0,1,0,0
0.020690,0.155172,0.186207,0,0,0,1,0,0
0.020690,0.155172,0.196552,0,0,0,1,0,0
0.020690,0.155172,0.206897,0,0,0,1,0,0
0.020690,0.155172,0.217241,0,0,0,1,0,0
0.020690,0.155172,0.227586,0,0,0,1,0,0
0.020690,0.155172,0.237931,0,0,0,1,0,0
0.020690,0.155172,0.248276,0,0,0,1,0,0
0.020690,0.155172,0.258621,0,0,0,1,0,0
0.020690,0.155172,0.268966,0,0,0,1,0,0
0.020690,0.155172,0.279310,0,0,0,1,0,0
0.020690,0.155172,0.289655,0,0,0,1,0,0
0.020690,0.155172,0.300000,0,0,0,1,0,0
0.020690,0.165517,0.031034,1,0,0,1,0,1
0.020690,0.165517,0.041379,0,0,0,1,0,1
0.020690,0.165517,0.051724,0,0,0,1,0,0
0.020690,0.165517,0.062069,0,0,0,1,0,0
0.020690,0.165517,0.072414,0,0,0,1,0,0
0.020690,0.165517,0.082759,0,0,0,1,0,0
0.020690,0.165517,0.093103,0,0,0,1,0,0
0.020690,0.165517,0.103448,0,0,0,1,0,0
0.020690,0.165517,0.113793,0,0,0,1,0,0
0.020690,0.165517,0.124138,0,0,0,1,0,0
0.020690,0.165517,0.134483,0,0,0,1,0,0
0.020690,0.165517,0.144828,0,0,0,1,0,0
0.020690,0.165517,0.155172,0,0,0,1,0,0
0.020690,0.165517,0.165517,0,0,0,1,0,0
0.020690,0.165517,0.175862,0,0,0,1,0,0
